"","id","metabolite","sample","logInt","age","genotype"
"126","neg_474","FA 22:5_2","CC_AV794",7.99391695897993,"12wk","tg/tg"
"127","neg_474","FA 22:5_2","CC_AV802",6.78629233201841,"12wk","fl/fl"
"128","neg_474","FA 22:5_2","CC_AV816",5.38681213969249,"5wk","fl/fl"
"129","neg_474","FA 22:5_2","CC_AV817",7.11453885261329,"5wk","tg/tg"
"130","neg_474","FA 22:5_2","CC_AV833",8.41681604280496,"12wk","tg/tg"
"131","neg_474","FA 22:5_2","CC_AV863",5.81841987916086,"5wk","fl/fl"
"132","neg_474","FA 22:5_2","CC_AV864",7.87527159925439,"5wk","fl/fl"
"133","neg_474","FA 22:5_2","CC_AV865",6.93027253558287,"5wk","fl/fl"
"134","neg_474","FA 22:5_2","CC_AV866",7.7715297697634,"5wk","fl/fl"
"135","neg_474","FA 22:5_2","CC_AV967",8.43733250873307,"5wk","tg/tg"
"136","neg_474","FA 22:5_2","CC_AV968",8.53872808075234,"5wk","tg/tg"
"137","neg_474","FA 22:5_2","CC_AV971",8.88344600880671,"5wk","tg/tg"
"138","neg_474","FA 22:5_2","CC_AV972",8.36177069077979,"5wk","tg/tg"
"139","neg_474","FA 22:5_2","CC_AV974",9.61996913645438,"5wk","tg/tg"
"140","neg_474","FA 22:5_2","CC_AV996",7.2125542290112,"5wk","tg/tg"
"141","neg_477","FA 22:4_1","CC_AV555",11.7781157686896,"20wk","tg/tg"
"142","neg_477","FA 22:4_1","CC_AV572",5.71097038563326,"20wk","fl/fl"
"143","neg_477","FA 22:4_1","CC_AV580",6.28370170810303,"12wk","fl/fl"
"144","neg_477","FA 22:4_1","CC_AV586",7.43470790006438,"20wk","fl/fl"
"145","neg_477","FA 22:4_1","CC_AV589",7.0436837791849,"20wk","fl/fl"
"146","neg_477","FA 22:4_1","CC_AV590",4.19985070718972,"20wk","fl/fl"
"147","neg_477","FA 22:4_1","CC_AV591",5.40222878803631,"20wk","fl/fl"
"148","neg_477","FA 22:4_1","CC_AV598",6.81659639079349,"20wk","fl/fl"
"149","neg_477","FA 22:4_1","CC_AV604",13.0236783545766,"12wk","tg/tg"
"150","neg_477","FA 22:4_1","CC_AV608",4.9319208327958,"12wk","fl/fl"
"151","neg_477","FA 22:4_1","CC_AV609",6.52038693206665,"12wk","fl/fl"
"152","neg_477","FA 22:4_1","CC_AV610",5.64316542447083,"12wk","fl/fl"
"153","neg_477","FA 22:4_1","CC_AV611",4.39252658765811,"12wk","fl/fl"
"154","neg_477","FA 22:4_1","CC_AV612",9.23535903328078,"20wk","tg/tg"
"155","neg_477","FA 22:4_1","CC_AV650",10.0889681159063,"20wk","tg/tg"
"156","neg_477","FA 22:4_1","CC_AV717",12.1179508439622,"20wk","tg/tg"
"157","neg_477","FA 22:4_1","CC_AV718",9.92444847417953,"20wk","tg/tg"
"158","neg_477","FA 22:4_1","CC_AV770",7.48001465556713,"12wk","tg/tg"
"159","neg_477","FA 22:4_1","CC_AV782",8.82815179782038,"12wk","tg/tg"
"160","neg_477","FA 22:4_1","CC_AV791",10.2808491482916,"12wk","tg/tg"
"161","neg_477","FA 22:4_1","CC_AV794",9.73403873229246,"12wk","tg/tg"
"162","neg_477","FA 22:4_1","CC_AV802",7.03436811891986,"12wk","fl/fl"
"163","neg_477","FA 22:4_1","CC_AV816",6.28954177892586,"5wk","fl/fl"
"164","neg_477","FA 22:4_1","CC_AV817",8.97828265630415,"5wk","tg/tg"
"165","neg_477","FA 22:4_1","CC_AV833",10.149331160308,"12wk","tg/tg"
"166","neg_477","FA 22:4_1","CC_AV863",6.74470607305787,"5wk","fl/fl"
"167","neg_477","FA 22:4_1","CC_AV864",8.88035014106286,"5wk","fl/fl"
"168","neg_477","FA 22:4_1","CC_AV865",6.88466567232994,"5wk","fl/fl"
"169","neg_477","FA 22:4_1","CC_AV866",9.59060587272273,"5wk","fl/fl"
"170","neg_477","FA 22:4_1","CC_AV967",9.84454880789117,"5wk","tg/tg"
"171","neg_477","FA 22:4_1","CC_AV968",11.2135219445475,"5wk","tg/tg"
"172","neg_477","FA 22:4_1","CC_AV971",10.5364710183396,"5wk","tg/tg"
"173","neg_477","FA 22:4_1","CC_AV972",9.61320383933866,"5wk","tg/tg"
"174","neg_477","FA 22:4_1","CC_AV974",9.02906288829289,"5wk","tg/tg"
"175","neg_477","FA 22:4_1","CC_AV996",8.51080832833911,"5wk","tg/tg"
"176","neg_553","FA 24:6","CC_AV555",6.76628143219098,"20wk","tg/tg"
"177","neg_553","FA 24:6","CC_AV572",1.15200309344505,"20wk","fl/fl"
"178","neg_553","FA 24:6","CC_AV580",3.46129898296492,"12wk","fl/fl"
"179","neg_553","FA 24:6","CC_AV586",3.80456266118766,"20wk","fl/fl"
