"","OTU","Sample","Abundance","mouse_id","Genotype","Age","Genotype_Age","Tissue","Phenotype","Tissue_Age","Age_Genotype","Age_Phenotype","Exact_Age","Tumor_No","Cage","Litter","Cage_Genotype","Gender","ATF6_expression","GRP78_expression","Kingdom","Phylum","Class","Order","Family","Genus","ASV","Highest_classified"
"384","Zotu53; LachnospiraceaeNK4A136group","D29761_94-AV802",0.0767106474378644,"AV802","fl/fl","12wk","fl/fl_12wk","Healthy","NT","Healthy_12wk","12wk_fl/fl","12wk_NT",12.4,0,"O","156","O_fl/fl","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu53","Zotu53; LachnospiraceaeNK4A136group"
"385","Zotu135; GOTU2838","D29751_84-AV803",0.0763464741810106,"AV803","tg/wt","12wk","tg/wt_12wk","Healthy","NT","Healthy_12wk","12wk_tg/wt","12wk_NT",12.4,0,"O","156","O_tg/wt","f",NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2838","Zotu135","Zotu135; GOTU2838"
"386","Zotu111; Parabacteroides","D29671_04-AV972",0.0763067531476536,"AV972","tg/tg","5wk","tg/tg_5wk","Healthy","NT","Healthy_5wk","5wk_tg/tg","5wk_NT",5.3,0,"U","165","U_tg/tg","m",7.602051975,23.72038557,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Zotu111","Zotu111; Parabacteroides"
"387","Zotu49; LachnospiraceaeNK4A136group","D29749_82-AV579",0.0762913431764125,"AV579","tg/wt","12wk","tg/wt_12wk","Healthy","NT","Healthy_12wk","12wk_tg/wt","12wk_NT",12,0,"F","141","F_tg/wt","f",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu49","Zotu49; LachnospiraceaeNK4A136group"
"388","Zotu111; Parabacteroides","D29740_73-AV791TA",0.0753806723955978,"AV791TA","tg/tg","12wk","tg/tg_12wk","Tumor_adjacent","T","Tumor_adjacent_12wk","12wk_tg/tg","12wk_T",12.1,3,"N","152a","N_tg/tg","f",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Parabacteroides","Zotu111","Zotu111; Parabacteroides"
"389","Zotu47; GOTU208","D29678_11-AV588",0.0743178681388682,"AV588","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"G","140","G_tg/wt","m",2.744206198,20.93805541,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","GOTU208","Zotu47","Zotu47; GOTU208"
"390","Zotu40; GOTU1381","D29691_24-AV580",0.0742027726499439,"AV580","fl/fl","12wk","fl/fl_12wk","Healthy","NT","Healthy_12wk","12wk_fl/fl","12wk_NT",12,0,"F","141","F_fl/fl","f",NA,NA,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Muribaculaceae","GOTU1381","Zotu40","Zotu40; GOTU1381"
"391","Zotu35; GOTU2839","D29758_91-AV609",0.0741455771463746,"AV609","fl/fl","12wk","fl/fl_12wk","Healthy","NT","Healthy_12wk","12wk_fl/fl","12wk_NT",11.7,0,"I","144","I_fl/fl","m",NA,NA,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","GOTU2839","Zotu35","Zotu35; GOTU2839"
"392","Zotu132; Tuzzerella","D29679_12-AV596",0.0736070662783627,"AV596","tg/wt","5wk","tg/wt_5wk","Healthy","NT","Healthy_5wk","5wk_tg/wt","5wk_NT",4.9,0,"H","139","H_tg/wt","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Tuzzerella","Zotu132","Zotu132; Tuzzerella"
"393","Zotu123; LachnospiraceaeNK4A136group","D29759_92-AV610",0.0727090384856462,"AV610","fl/fl","12wk","fl/fl_12wk","Healthy","NT","Healthy_12wk","12wk_fl/fl","12wk_NT",12,0,"I","144","I_fl/fl","m",NA,NA,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","LachnospiraceaeNK4A136group","Zotu123","Zotu123; LachnospiraceaeNK4A136group"
